item_id,project_id,component_id,item_name_raw,item_name_normalized,item_category_raw,item_category_normalized,article_raw,material_raw,material_normalized,thickness_mm,format_raw,decor_or_color_raw,supplier_raw,unit_raw,canonical_unit,calculated_quantity,order_quantity,length_mm,width_mm,area_m2,linear_length_m,coefficient,historical_unit_price,historical_line_cost,currency_code,price_effective_date,manual_value_raw,comment_raw,value_provenance,status_codes,source_container,source_file,source_sheet_or_section,source_row_or_range,source_value_raw,source_formula,source_formula_cell
I-20240801-63FDF80F16562782,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,3,,930,612,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D3""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B3""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C3""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A3:E3,"{""A3"":""AGT 18mm Фасад Белый"",""B3"":""930"",""C3"":""612"",""D3"":""3"",""E3"":""Цвета\\Белый""}",,
I-20240801-E713E0C83ADC1B08,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,2,,930,372,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D4""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B4""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C4""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A4:E4,"{""A4"":""AGT 18mm Фасад Белый"",""B4"":""930"",""C4"":""372"",""D4"":""2"",""E4"":""Цвета\\Белый""}",,
I-20240801-9FA7BFC2DD6E13B5,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,1,,512,350,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D5""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B5""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C5""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A5:E5,"{""A5"":""AGT 18mm Фасад Белый"",""B5"":""512"",""C5"":""350"",""D5"":""1"",""E5"":""Цвета\\Белый""}",,
I-20240801-41FF05B839B674CC,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,3,,512,600,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D6""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B6""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C6""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A6:E6,"{""A6"":""AGT 18mm Фасад Белый"",""B6"":""512"",""C6"":""600"",""D6"":""3"",""E6"":""Цвета\\Белый""}",,
I-20240801-BB87947812EA6FD3,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,1,,1818,350,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D7""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B7""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C7""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A7:E7,"{""A7"":""AGT 18mm Фасад Белый"",""B7"":""1818"",""C7"":""350"",""D7"":""1"",""E7"":""Цвета\\Белый""}",,
I-20240801-96BAA1AF38FDC9AC,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,1,,380,600,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D8""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B8""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C8""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A8:E8,"{""A8"":""AGT 18mm Фасад Белый"",""B8"":""380"",""C8"":""600"",""D8"":""1"",""E8"":""Цвета\\Белый""}",,
I-20240801-D240D0C3EE421947,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,1,,453,600,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D9""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B9""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C9""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A9:E9,"{""A9"":""AGT 18mm Фасад Белый"",""B9"":""453"",""C9"":""600"",""D9"":""1"",""E9"":""Цвета\\Белый""}",,
I-20240801-BE9BFEDDF99D8C0B,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,2,,720,600,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D10""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B10""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C10""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A10:E10,"{""A10"":""AGT 18mm Фасад Белый"",""B10"":""720"",""C10"":""600"",""D10"":""2"",""E10"":""Цвета\\Белый""}",,
I-20240801-7F0947412ED46CAF,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,2,,1098,600,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D11""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B11""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C11""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A11:E11,"{""A11"":""AGT 18mm Фасад Белый"",""B11"":""1098"",""C11"":""600"",""D11"":""2"",""E11"":""Цвета\\Белый""}",,
I-20240801-DDC9F592E0D41A9D,P-2024-08-01,,AGT 18mm Фасад Белый,AGT 18mm Фасад Белый,Деталь,detail,,,,,,Цвета\Белый,,шт.,pcs,1,,720,40,,,,,,,,,,"{""calculated_quantity"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!D12""},""length_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!B12""},""width_mm"":{""status_codes"":[""static""],""source_cell"":""Детали из PRO100!C12""}}",static,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A12:E12,"{""A12"":""AGT 18mm Фасад Белый"",""B12"":""720"",""C12"":""40"",""D12"":""1"",""E12"":""Цвета\\Белый""}",,
